tag,title,author,publisher,pub_date,price,rating,rating_people,url
小说,挽救计划,[美] 安迪·威尔,译林出版社,2021-9,68.00,9.1,26016,https://book.douban.com/subject/35494160/
小说,咸的玩笑,刘震云,人民文学出版社,2025-12,69.00元,8.5,14316,https://book.douban.com/subject/37833272/
小说,秦二世必须死,马伯庸,民主与建设出版社,2026-4,118.00元,6.9,1699,https://book.douban.com/subject/38370177/
小说,一句顶一万句,刘震云,花城出版社,2022-8,68.00元,9.0,34431,https://book.douban.com/subject/36062390/
小说,流俗地,【马来西亚】黎紫书,北京十月文艺出版社,2021-4-1,55.00元,9.1,45035,https://book.douban.com/subject/35430425/
小说,太白金星有点烦,马伯庸,湖南文艺出版社,2023-6,45.00,9.0,150196,https://book.douban.com/subject/36328704/
小说,抄写员巴托比,[美] 赫尔曼·梅尔维尔,陕西师范大学出版总社,2026-4-1,32.00元,8.3,725,https://book.douban.com/subject/38392174/
小说,明亮的夜晚,[韩]崔恩荣,台海出版社,2023-8,52,9.0,72654,https://book.douban.com/subject/36457094/
小说,永结无情游,周嘉宁,人民文学出版社,2026-4,59,8.3,524,https://book.douban.com/subject/38367806/
小说,桃花源没事儿,马伯庸,湖南文艺出版社,2025-6,48.00元,7.6,19321,https://book.douban.com/subject/37339619/
小说,长安的荔枝,马伯庸,湖南文艺出版社,2022-10,45.00元,8.5,270191,https://book.douban.com/subject/36104107/
小说,素食者,[韩] 韩江,四川文艺出版社,2021-9,48,8.1,153749,https://book.douban.com/subject/35534519/
小说,低智商犯罪,紫金陈,天津人民出版社,2020-5,48.00元,7.3,15003,https://book.douban.com/subject/34996662/
小说,她对此感到厌烦,妚鹤,北京联合出版公司,2023-4,54.80元,9.0,30392,https://book.douban.com/subject/36392723/
小说,绝叫,[日] 叶真中显,北京联合出版公司,2020-7,58.00元,8.9,151877,https://book.douban.com/subject/35031587/
小说,油炸绿番茄,[美] 范妮·弗拉格,北京时代华文书局,2024-2,59.00元,8.7,16367,https://book.douban.com/subject/36473837/
小说,恶意,[日] 东野圭吾,南海出版公司,2016-11,39.50元,8.7,166056,https://book.douban.com/subject/26877752/
小说,黄油,[日] 柚木麻子,译林出版社,2025-10,78.00,7.5,4293,https://book.douban.com/subject/37496215/
小说,额尔古纳河右岸,迟子建,人民文学出版社,2019-6-1,32.00元,8.9,78025,https://book.douban.com/subject/34432750/
小说,挽救计划,[美] 安迪·威尔,译林出版社,2026-3,68,9.2,1350,https://book.douban.com/subject/38210508/
小说,人呐,莫言,北京日报出版社,2026-4,59.9,6.4,1491,https://book.douban.com/subject/37832794/
小说,伶仃世,索耳,新星出版社,2026-3,69,8.2,265,https://book.douban.com/subject/37518663/
小说,天色已晚,[爱尔兰]克莱尔·吉根,太白文艺出版社,2026-1,55.00元,8.2,1878,https://book.douban.com/subject/37890167/
小说,活着,余华,作家出版社,2012-8,28.00元,9.4,917300,https://book.douban.com/subject/4913064/
小说,父亲的解放日志,[韩] 郑智我,新星出版社,2025-3,49.00元,8.5,9342,https://book.douban.com/subject/37200304/
小说,刮风下雨,李静睿,浙江文艺出版社,2026-4,58.00元,8.8,317,https://book.douban.com/subject/38240709/
小说,死亡之前的十五秒,[日] 榊林铭,新星出版社,2026-3,52.00元,7.5,1058,https://book.douban.com/subject/37444748/
小说,局外人,[法] 阿尔贝·加缪,上海译文出版社,2010-8,22.00元,9.1,273835,https://book.douban.com/subject/4908885/
小说,食南之徒,马伯庸,湖南文艺出版社,2024-4,56.00元,8.2,53294,https://book.douban.com/subject/36710597/
小说,恶女的告白,[日] 叶真中显,中国友谊出版公司,2024-9,55,8.5,43750,https://book.douban.com/subject/36743030/
小说,臺灣漫遊錄,青山千鶴子・楊双子、杨若晖,春山出版公司,2020-3-31,NTD380,,616,https://book.douban.com/subject/35015620/
小说,大明王朝1566,刘和平,花城出版社,2016-7,88.00元,9.5,22066,https://book.douban.com/subject/26925171/
小说,窄门,[法] 安德烈·纪德,天津人民出版社,2018-10,45.00,7.4,65367,https://book.douban.com/subject/30331835/
小说,呼啸山庄,(英) 艾米莉·勃朗特,译林出版社,2010-8,18.00元,8.3,23484,https://book.douban.com/subject/4898521/
小说,卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский),上海译文出版社,2015-2-1,CNY 78.00,9.6,53124,https://book.douban.com/subject/25887924/
小说,遥远的救世主,豆豆,作家出版社,2005-5,33.00元,8.6,54964,https://book.douban.com/subject/1322455/
小说,两京十五日,马伯庸,湖南文艺出版社,2020-7,108.00元,8.0,34967,https://book.douban.com/subject/35080870/
小说,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,39.50元,9.2,532893,https://book.douban.com/subject/10554308/
小说,长日将尽,[英] 石黑一雄,上海译文出版社,2018-5,48,8.9,46061,https://book.douban.com/subject/30142261/
小说,她对此感到厌烦2,妚鹤,北京联合出版公司,2025-9,54.8元,9.0,4458,https://book.douban.com/subject/37253398/
小说,凯罗斯,[德] 燕妮·埃彭贝克,云南人民出版社,2026-1,69.00元,8.5,1311,https://book.douban.com/subject/37825000/
小说,主角,陈彦,作家出版社,2018-1,85.00元,7.3,11405,https://book.douban.com/subject/30137612/
小说,生死疲劳,莫言,浙江文艺出版社,2021-11,69.90元,8.9,65548,https://book.douban.com/subject/35587028/
小说,离开的，留下的,[意] 埃莱娜·费兰特,人民文学出版社,2017-10,62.00元,8.9,92471,https://book.douban.com/subject/27104959/
小说,一地鸡毛,刘震云,花城出版社,2022-7,60.00元,8.7,6824,https://book.douban.com/subject/36061380/
小说,平面国,[英] 埃德温·A·艾勃特,上海文化出版社,2020-8,39.80元,9.2,37850,https://book.douban.com/subject/35170896/
小说,蛇结,[法]弗朗索瓦·莫里亚克,四川文艺出版社,2025-4,58.00,8.3,12321,https://book.douban.com/subject/37279279/
小说,酒吧长谈,[秘鲁] 马里奥·巴尔加斯·略萨,人民文学出版社,2021-3,128.00元,9.4,10673,https://book.douban.com/subject/34933180/
小说,刚刚离开的世界,[韩] 金草叶,国文出版社,2026-3-29,58,8.2,591,https://book.douban.com/subject/37447242/
小说,翠鸟谋杀案,[英] 安东尼·霍洛维茨,新星出版社,2026-5,98.00元,8.1,316,https://book.douban.com/subject/38229491/
小说,房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.00元,9.2,424063,https://book.douban.com/subject/27614904/
小说,鼓动,[日] 叶真中显,北京联合出版公司,2026-3,59.00元,7.4,1293,https://book.douban.com/subject/37437772/
小说,伊加利亚的女儿们,[挪] 格德·布兰腾伯格,太白文艺出版社,2026-5,68.00元,9.2,310,https://book.douban.com/subject/38192362/
小说,逐玉,团子来袭,青岛出版社,2025-5,69.8,6.7,612,https://book.douban.com/subject/37309656/
小说,卢克明的偷偷一笑,余华,新星出版社,2025-12,49.00元,5.2,6958,https://book.douban.com/subject/37816598/
小说,我才不想做家务,纪静蓉,江苏凤凰文艺出版社,2025-7,59.90元,9.2,5151,https://book.douban.com/subject/37436726/
小说,灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元,8.9,134459,https://book.douban.com/subject/2143732/
小说,檀香刑,莫言,浙江文艺出版社,2017-1,56.00元,9.2,45159,https://book.douban.com/subject/26905337/
小说,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元,8.9,827265,https://book.douban.com/subject/1770782/
小说,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.50元,9.3,475334,https://book.douban.com/subject/6082808/
小说,弹珠游戏,[法] 埃莉萨·秀雅·迪萨潘,上海译文出版社,2026-3,58,7.7,342,https://book.douban.com/subject/38220071/
小说,可怜的东西,[英] 阿拉斯代尔·格雷,上海译文出版社,2026-3,78.00元,9.2,103,https://book.douban.com/subject/37651737/
小说,她和她的决心,东来,上海文艺出版社,2026-3,52.00元,8.3,850,https://book.douban.com/subject/38178826/
小说,基督山伯爵,[法]大仲马,译林出版社,2018-10,138,9.2,21070,https://book.douban.com/subject/30286914/
小说,即使以最微弱的光,[韩] 崔恩荣,国文出版社,2025-8,56.00元,8.7,5556,https://book.douban.com/subject/37286972/
小说,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元,9.0,311619,https://book.douban.com/subject/10594787/
小说,夜晚的潜水艇,陈春成,上海三联书店,2020-9,52.00元,8.3,91112,https://book.douban.com/subject/35005045/
小说,珍珠,[美] 约翰·斯坦贝克,陕西师范大学出版总社有限公司,2026-4-1,36.00元,8.5,186,https://book.douban.com/subject/38394123/
小说,影·豹,[日] 内田百间,广西师范大学出版社,2026-5,46,7.9,125,https://book.douban.com/subject/37808516/
小说,大医·日出篇,马伯庸,上海文艺出版社,2022-12,108.00元,8.8,15385,https://book.douban.com/subject/36155568/
小说,罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2013-3,28.00元,9.2,101255,https://book.douban.com/subject/21371175/
小说,我的天才女友,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,8.8,140120,https://book.douban.com/subject/26878124/
小说,13 67,陳浩基,皇冠文化出版有限公司,2014-6-9,NTD 350,9.1,30143,https://book.douban.com/subject/25897884/
小说,烧纸,[韩] 李沧东,新星出版社,2026-1,69.00元,8.7,893,https://book.douban.com/subject/37281710/
小说,低智商犯罪（修订新版）,紫金陈,湖南文艺出版社,2026-1,59.80,6.9,550,https://book.douban.com/subject/37891758/
小说,失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,2018-7,62.00元,9.2,101297,https://book.douban.com/subject/30172069/
小说,悉达多,[德] 赫尔曼·黑塞,天津人民出版社,2017-1,32.00元,9.1,180591,https://book.douban.com/subject/26980487/
小说,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,河南文艺出版社,2022-8-1,48.00元,9.0,41758,https://book.douban.com/subject/35989392/
小说,一个女人的故事,[法]安妮·埃尔诺,上海人民出版社,2022-10,38.00,9.0,25133,https://book.douban.com/subject/36078195/
小说,消失的13级台阶,[日] 高野和明,上海文艺出版社,2020-5-15,42.00元,8.5,118277,https://book.douban.com/subject/34996429/
小说,外套,[俄罗斯] 果戈理,陕西师范大学出版总社有限公司,2026-4-1,32.00元,8.9,377,https://book.douban.com/subject/38392257/
小说,鱼水,张天翼,人民文学出版社,2026-4,62元,8.9,105,https://book.douban.com/subject/38427320/
小说,三体,刘慈欣,重庆出版社,2008-1,23.00,8.9,515969,https://book.douban.com/subject/2567698/
小说,火星救援,[美] 安迪·威尔,译林出版社,2015-10,38.00,8.9,23328,https://book.douban.com/subject/26586492/
小说,永劫馆超连续杀人事件,[日] 南海游,中国友谊出版公司,2025-11-10,55,7.3,2357,https://book.douban.com/subject/37436578/
小说,地下室手记,[俄] 陀思妥耶夫斯基,浙江文艺出版社,2020-5,39.80元,9.2,38970,https://book.douban.com/subject/34990839/
小说,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2015-4,36.00元,9.1,137325,https://book.douban.com/subject/26362836/
小说,一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2013-6,25.00元,8.7,65678,https://book.douban.com/subject/24382569/
小说,沧浪之水,阎真,人民文学出版社,2001-10,26.00元,8.4,44428,https://book.douban.com/subject/1054917/
小说,血孩子,[美] 奥克塔维娅·E.巴特勒,中国友谊出版公司,2025-2,55.00,8.2,4202,https://book.douban.com/subject/36985532/
小说,金色梦乡,[日] 伊坂幸太郎,南海出版公司,2016-11,69.00元,8.8,65900,https://book.douban.com/subject/26864984/
小说,死者,[爱尔兰] 詹姆斯·乔伊斯,陕西师范大学出版总社有限公司,2026-4-1,32.00元,8.6,225,https://book.douban.com/subject/38392187/
小说,佩德罗·巴拉莫,[墨西哥] 胡安·鲁尔福,译林出版社,2021-1,48.00元,8.9,12816,https://book.douban.com/subject/35221700/
小说,灵魂的肉身,[俄]柳德米拉·乌利茨卡娅,译林出版社,2026-5,58.00元,8.2,100,https://book.douban.com/subject/38383105/
小说,病鹤,[日]冈本加乃子,广西师范大学出版社,2026-5,52.00,8.5,152,https://book.douban.com/subject/37852025/
小说,新参者,[日] 东野圭吾,南海出版公司,2016-1,39.50元,8.2,67026,https://book.douban.com/subject/26639966/
小说,白雪猪头,苏童,浙江人民出版社,2026-2,49.90,8.5,326,https://book.douban.com/subject/38188690/
小说,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2017-2,58.00,9.3,89465,https://book.douban.com/subject/26879778/
小说,人生海海,麦家,北京十月文艺出版社,2019-4,55.00元,7.9,102821,https://book.douban.com/subject/30475767/
小说,新名字的故事,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.00元,9.2,112756,https://book.douban.com/subject/26986954/
